"id","player_api_id","player_name","player_fifa_api_id","overall_rating","gk_rating","appearances","leagues"
8473,30978,"Pawel Brozek",105827,NA,NA,40,8
8474,406505,"Pawel Dawidowicz",213404,65,50,7,5
8475,36641,"Pawel Golanski",165033,NA,NA,25,7
8476,480964,"Pawel Jaroszynski",219661,60,55,15,8
8477,13345,"Pawel Kieszek",148526,75,374,58,4
8478,465797,"Pawel Moskwik",224063,62,55,4,6
8479,275765,"Pawel Oleksy",210414,64,65,23,5
8480,212377,"Pawel Olkowski",204687,75,63,31,12
8481,13327,"Pawel Sasin",162275,NA,NA,4,4
8482,69258,"Pawel Sobolewski",153222,68,140,22,9
8483,385273,"Pawel Stolarski",213449,63,53,9,5
8484,13513,"Pawel Strak",105833,NA,NA,8,5
8485,158582,"Pawel Wojciechowski",192361,65,119,1,2
8486,206695,"Pawel Wszolek",203568,72,56,13,9
8487,522276,"Pawel Zielinski",221970,65,58,27,9
8488,363906,"Pecks",210592,67,63,17,6
8489,489710,"Pedrao",219258,70,55,9,4
8490,114724,"Pedrinho",186823,71,127,43,7
8492,11746,"Pedro Alves",1221,66,329,0,0
8493,291635,"Pedro Bigas",206222,73,62,27,8
8494,150769,"Pedro Botelho",184869,73,132,13,6
8495,680031,"Pedro Chirivella",224019,57,61,0,1
8496,186677,"Pedro Coronas",218988,66,50,6,5
8497,40180,"Pedro Correia",179873,65,59,6,3
8498,43284,"Pedro Costa",138934,62,139,13,5
8499,32546,"Pedro da Silva Moutinho,28",161973,65,117,10,8
8500,40965,"Pedro Emanuel",47615,75,123,2,3
8501,304856,"Pedro Henrique",207929,75,57,35,20
8502,6824,"Pedro Kamata",9003,72,128,1,1
8503,358221,"Pedro Lemos",213346,59,44,1,1
8504,75192,"Pedro Leon",175379,NA,NA,82,9
8505,37597,"Pedro Lopez",157479,75,145,71,9
8506,163919,"Pedro Mba Obiang",200054,74,36,28,12
8507,154264,"Pedro Mendes",200677,73,49,27,14
8508,30585,"Pedro Mendes",17887,79,152,32,14
8509,566379,"Pedro Monteiro",227539,65,49,2,2
8510,50473,"Pedro Morales",191725,77,47,5,7
8511,11849,"Pedro Moreira",199848,69,63,18,8
8512,185701,"Pedro Moreira",13117,66,55,28,3
8513,40668,"Pedro Mosquera",178625,NA,NA,41,7
8514,35638,"Pedro Munitis",146659,82,154,57,10
8515,570835,"Pedro Nuno",224538,65,57,8,6
8516,28468,"Pedro Oldoni",176762,71,129,6,6
8517,201918,"Pedro Orfila Artime",194224,67,122,5,5
8518,34551,"Pedro Pele Monteiro",8214,NA,NA,3,4
8519,660010,"Pedro Pereira",230824,65,48,0,0
8520,96854,"Pedro Pereira",176491,64,44,0,1
8521,29036,"Pedro Queiros",192252,68,38,47,3
8522,243649,"Pedro Ramirez",220765,65,55,2,2
8523,31302,"Pedro Ribeiro",177945,65,60,4,4
8524,75619,"Pedro Rios",145269,NA,NA,35,9
8525,150250,"Pedro Rodriguez",189505,85,146,71,11
8526,11716,"Pedro Roma",20490,72,352,1,2
8527,281628,"Pedro Santos",211119,74,53,27,11
8528,181356,"Pedro Seabra",194061,64,136,5,3
8529,19446,"Pedro Silva",159424,72,143,13,10
8530,164053,"Pedro Tiba",219181,75,57,23,6
8531,164354,"Pedro Trigueira",193870,71,357,16,2
8532,27419,"Peer Kluge",30458,77,147,23,7
8533,450708,"Peet Bijen",218047,65,49,8,8
